sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria
500,25,10000,10,rank,uniform,random,4,45,-6,4.9230968952178955,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,6.147049903869629,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,8.511487007141113,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.378513813018799,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,5.7328081130981445,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,8.838972806930542,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,11.439866304397583,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.870692014694214,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.482769966125488,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,10.375655889511108,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,8.743744850158691,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,7.180081367492676,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,11.678504943847656,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.113933801651001,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.570898056030273,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-7,7.724534034729004,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,6.580890893936157,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,6.62641716003418,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,9.832401037216187,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.651543855667114,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,7.377238035202026,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-7,6.100919008255005,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,10.61205506324768,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,13.310771942138672,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,9.09934115409851,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,9.069624185562134,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,7.021497964859009,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.193615913391113,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.535698175430298,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.215544939041138,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.7637269496917725,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.933767795562744,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,7.316581726074219,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,8.511229991912842,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,4.678593158721924,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,9.073685646057129,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-7,5.443899154663086,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,8.368898630142212,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,11.039695978164673,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,7.431271314620972,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,6.641786813735962,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-8,5.3394200801849365,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.895381689071655,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,9.628801107406616,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,6.147918939590454,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,5.41886305809021,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,6.721859693527222,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.959059000015259,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,5.6684699058532715,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,10.029214143753052,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.3986711502075195,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,9.32241415977478,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,12.055232048034668,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,5.298024892807007,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,6.241249084472656,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,6.458181142807007,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,6.719182968139648,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,8.896292686462402,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.108777046203613,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.04731297492981,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.21613597869873,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-2,11.713783979415894,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.557429075241089,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,7.375072002410889,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.312597274780273,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,8.92840313911438,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,6.660930871963501,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.118009090423584,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,4.860847234725952,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,11.161833047866821,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-7,6.533040285110474,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.887750148773193,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,8.209531784057617,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,11.452064990997314,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-5,6.41893196105957,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,8.887850046157837,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,8.389370679855347,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-7,8.193642854690552,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,10.559150218963623,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,11.2902991771698,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,13.318120956420898,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.448763132095337,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,8.90127182006836,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.4161999225616455,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,6.3991029262542725,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,10.177669048309326,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.587181091308594,saturate_50



500,25,10000,10,rank,uniform,random,4,50,-7,7.704566717147827,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,8.981145858764648,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-6,5.6802849769592285,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-3,7.438385963439941,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.578057289123535,saturate_50
500,25,10000,10,rank,uniform,random,4,50,-9,6.652324199676514,saturate_50
500,25,10000,10,rank,uniform,random,4,50,-6,10.478654146194458,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,5.916049957275391,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,7.891406774520874,saturate_50
500,25,10000,10,rank,uniform,random,4,45,-4,6.7426910400390625,saturate_50
500,25,10000,10,rank,uniform,random,4,50,-6,9.885848045349121,saturate_50
