sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration,stop_criteria
500,25,5000,10,rank,uniform,random,4,45,-5,6.497113227844238,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-2,10.831632852554321,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,4.9947028160095215,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,6.198435068130493,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-6,6.02896785736084,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,6.499693870544434,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-6,4.778357028961182,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,5.8660728931427,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,7.794076919555664,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-3,5.554229021072388,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,8.681174993515015,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,9.693013191223145,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,4.970967769622803,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-2,10.481079816818237,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,9.374096870422363,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-6,4.954303979873657,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-3,8.986653089523315,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-3,5.04924201965332,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,8.368042469024658,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-3,5.605183124542236,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,7.6520490646362305,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,5.2111427783966064,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,6.1280059814453125,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-7,4.739802122116089,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-2,6.874983787536621,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,7.813493013381958,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-7,5.788859844207764,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,11.512749910354614,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-7,5.74515700340271,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,8.084811925888062,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,7.225243091583252,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,5.649503946304321,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-4,5.855318069458008,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-3,10.410500049591064,saturate_50
500,25,5000,10,rank,uniform,random,4,45,-5,6.478533029556274,saturate_50
