sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration
1000,200,10000,10,sss,single_point,random,8,45,-8,8.397066116333008
1000,200,10000,10,sss,single_point,random,8,45,-9,9.163986921310425
1000,200,10000,10,sss,single_point,random,8,45,-9,7.698372840881348
1000,200,10000,10,sss,single_point,random,8,45,-11,8.023544073104858
1000,200,10000,10,sss,single_point,random,8,45,-10,6.541747093200684
1000,200,10000,10,sss,single_point,random,8,45,-13,6.249391078948975
1000,200,10000,10,sss,single_point,random,8,45,-12,5.859280824661255
1000,200,10000,10,sss,single_point,random,3,45,-4,7.642560958862305
1000,200,10000,10,sss,single_point,random,3,45,-4,6.112494945526123
1000,200,10000,10,sss,single_point,random,3,45,-6,5.510901927947998
1000,200,10000,10,sss,single_point,random,3,45,-6,4.752813100814819
1000,200,10000,10,sss,single_point,random,3,45,-3,7.5844738483428955
1000,200,10000,10,sss,single_point,random,3,45,-6,4.576037883758545
1000,200,10000,10,sss,single_point,random,3,45,-4,6.929180860519409
1000,200,10000,10,sss,single_point,random,3,45,-5,5.765546083450317
1000,200,10000,10,sss,single_point,random,3,45,-5,7.766106128692627
1000,200,10000,10,sss,single_point,random,3,45,-2,6.529816150665283
1000,200,10000,10,sss,single_point,random,3,45,-6,6.565074920654297
1000,200,10000,10,sss,single_point,random,3,45,-3,5.658116102218628
1000,200,10000,10,sss,single_point,random,3,45,-3,5.953652858734131
1000,200,10000,10,sss,single_point,random,3,45,-2,7.001273155212402
1000,200,10000,10,sss,single_point,random,3,45,-4,6.584051847457886
1000,200,10000,10,sss,single_point,random,3,45,-5,7.353978872299194
1000,200,10000,10,sss,single_point,random,3,45,-5,8.244600057601929
1000,200,10000,10,sss,single_point,random,3,45,-5,4.9327309131622314
1000,200,10000,10,sss,single_point,random,3,45,-3,7.700366020202637
1000,200,10000,10,sss,single_point,random,3,45,-5,6.677946090698242
1000,200,10000,10,sss,single_point,random,3,45,-3,9.20276689529419
1000,200,10000,10,sss,single_point,random,3,45,-5,6.487393856048584
1000,200,10000,10,sss,single_point,random,3,45,-4,7.4956207275390625
1000,200,10000,10,sss,single_point,random,3,45,-3,6.905333995819092
1000,200,10000,10,sss,single_point,random,3,45,-2,5.482649087905884
1000,200,10000,10,sss,single_point,random,3,45,-5,6.390878915786743
1000,200,10000,10,sss,single_point,random,3,45,-5,4.35837197303772
1000,200,10000,10,sss,single_point,random,3,45,-6,6.167218923568726
1000,200,10000,10,sss,single_point,random,3,45,-2,4.936339855194092
1000,200,10000,10,sss,single_point,random,3,45,-4,7.174374103546143
1000,200,10000,10,sss,single_point,random,3,45,0,4.942958831787109
1000,200,10000,10,sss,single_point,random,3,45,-5,5.455542087554932
1000,200,10000,10,sss,single_point,random,3,45,-5,6.4668967723846436
1000,200,10000,10,sss,single_point,random,3,45,-6,5.066951036453247
1000,200,10000,10,sss,single_point,random,3,45,-6,5.363119125366211
1000,200,10000,10,sss,single_point,random,3,45,-3,6.928849935531616
1000,200,10000,10,sss,single_point,random,3,45,-3,5.830450773239136
1000,200,10000,10,sss,single_point,random,3,45,-3,8.513911962509155
1000,200,10000,10,sss,single_point,random,3,45,-4,7.2693610191345215
1000,200,10000,10,sss,single_point,random,3,45,-6,8.661280870437622
1000,200,10000,10,sss,single_point,random,3,45,-2,8.684388160705566
1000,200,10000,10,sss,single_point,random,3,45,-4,6.701222896575928
1000,200,10000,10,sss,single_point,random,3,45,-5,5.355370998382568
1000,200,10000,10,sss,single_point,random,3,45,-2,6.335288763046265
1000,200,10000,10,sss,single_point,random,3,45,-4,8.057007074356079
1000,200,10000,10,sss,single_point,random,3,45,-6,5.942446947097778
1000,200,10000,10,sss,single_point,random,3,45,-2,10.628305912017822
1000,200,10000,10,sss,single_point,random,3,45,-4,7.3441760540008545
1000,200,10000,10,sss,single_point,random,3,45,-3,6.384781122207642
1000,200,10000,10,sss,single_point,random,3,45,-5,6.5635411739349365
1000,200,10000,10,sss,single_point,random,3,45,-5,10.263780117034912
1000,200,10000,10,sss,single_point,random,3,45,-4,7.4865498542785645
1000,200,10000,10,sss,single_point,random,3,45,-2,6.899525165557861
1000,200,10000,10,sss,single_point,random,3,45,-4,9.059576034545898
1000,200,10000,10,sss,single_point,random,3,45,-7,5.289675951004028
1000,200,10000,10,sss,single_point,random,3,45,-4,6.4617578983306885
1000,200,10000,10,sss,single_point,random,3,45,-5,9.244540929794312
1000,200,10000,10,sss,single_point,random,3,45,-4,6.521490097045898
1000,200,10000,10,sss,single_point,random,3,45,-2,9.650837898254395
1000,200,10000,10,sss,single_point,random,3,45,-4,8.359962940216064
1000,200,10000,10,sss,single_point,random,3,45,-3,8.397953987121582
1000,200,10000,10,sss,single_point,random,3,45,-2,7.293414115905762
1000,200,10000,10,sss,single_point,random,3,45,-4,7.878918170928955
1000,200,10000,10,sss,single_point,random,3,45,-2,7.7877068519592285
1000,200,10000,10,sss,single_point,random,3,45,-2,8.671641111373901
1000,200,10000,10,sss,single_point,random,3,45,-7,5.790010213851929
1000,200,10000,10,sss,single_point,random,3,45,-5,8.035412073135376
1000,200,10000,10,sss,single_point,random,3,45,-6,6.466023921966553
1000,200,10000,10,sss,single_point,random,3,45,-5,8.930866241455078
1000,200,10000,10,sss,single_point,random,3,45,-6,5.964892148971558
1000,200,10000,10,sss,single_point,random,3,45,-4,9.549536943435669
1000,200,10000,10,sss,single_point,random,3,45,-2,8.152482986450195
1000,200,10000,10,sss,single_point,random,3,45,-2,6.351877927780151
1000,200,10000,10,sss,single_point,random,3,45,-4,6.52468204498291
1000,200,10000,10,sss,single_point,random,3,45,-6,6.007710218429565
1000,200,10000,10,sss,single_point,random,3,45,-4,6.106177091598511
